job_id,title,company,url,salary_raw,min_salary_mil,max_salary_mil,skills,benefits,posted_date,processed_at
1982399,Nhân Viên Kinh Doanh / Hỗ Trợ Bán Hàng Tại Văn Phòng Quận 12 ( Data Có Sẵn - Thử Việc 100% Lương - Thu Nhập 10-20 Triệu/Tháng),Công ty TNHH Vietnam Concentrix Services,https://www.topcv.vn/brand/concentrixservices/tuyen-dung/nhan-vien-kinh-doanh-ho-tro-ban-hang-tai-van-phong-quan-12-data-co-san-thu-viec-100-luong-thu-nhap-10-20-trieu-thang-j1982399.html,Tới 20 triệu,,20.0,"['Call Center/Trực tổng đài', 'Bán lẻ - Hàng t...']",[],2025-12-16,2025-12-23 13:11:26
1991925,Chuyên Viên Tư Vấn /Chốt Đơn Khóa Học - Lương Cứng 11-17 Triệu + Hoa Hồng (Thu Nhập Upto 30 Triệu/Tháng) - Yêu Cầu Tối Thiểu 1 Năm Kinh Nghiệm Telesale/Sale - Data Sẵn 100%,EDUPIA,https://www.topcv.vn/brand/educa/tuyen-dung/chuyen-vien-tu-van-chot-don-khoa-hoc-luong-cung-11-17-trieu-hoa-hong-thu-nhap-upto-30-trieu-thang-yeu-cau-toi-thieu-1-nam-kinh-nghiem-telesale-sale-data-san-100-j1991925.html,Tới 30 triệu,,30.0,"['Tư vấn tuyển sinh/khoá học', 'Telesales', 'B2C', 'Y ...']",[],2025-12-22,2025-12-23 13:11:26
1549646,Cộng Tác Viên Tư Vấn Tài Chính - Không Áp Doanh Số/Linh Hoạt Thời Gian (Miền Bắc),FE CREDIT,https://www.topcv.vn/brand/fecredit/tuyen-dung/cong-tac-vien-tu-van-tai-chinh-khong-ap-doanh-so-linh-hoat-thoi-gian-mien-bac-j1549646.html,12 - 15 triệu,12.0,15.0,"['Tư vấn tài chính', 'B2B', 'Tài chính', 'Bưu chính', 'Bất...']",[],2025-12-19,2025-12-23 13:11:26
1950261,Kế Toán Tổng Hợp,CÔNG TY CỔ PHẦN CƠ KHÍ CÔNG MINH,https://www.topcv.vn/viec-lam/ke-toan-tong-hop/1950261.html,Thoả thuận,,,"['Kế toán tổng hợp', '5 năm kinh nghiệm', 'Cao Đẳn...']",[],2025-12-09,2025-12-23 13:11:26
1980167,Trưởng Phòng Kinh Doanh Bất Động Sản - 2 Năm Kinh Nghiệm Trở Lên (Thu Nhập Từ 30 Triệu Trở Lên),CÔNG TY TNHH HEERA & CO,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-bat-dong-san-2-nam-kinh-nghiem-tro-len-thu-nhap-tu-30-trieu-tro-len/1980167.html,30 - 100 triệu,30.0,100.0,['Sales bất động sản/Môi giới bất động sản'],[],2025-12-16,2025-12-23 13:11:26
1986484,"Vacation Consultant/ Nhân Viên Tư Vấn Du Lịch, Kỳ Nghỉ (Lương Cứng Từ 10 - 20 Triệu + Hoa Hồng + Thưởng Nóng)",Công ty TNHH Prestige Resorts Marketing,https://www.topcv.vn/viec-lam/vacation-consultant-nhan-vien-tu-van-du-lich-ky-nghi-luong-cung-tu-10-20-trieu-hoa-hong-thuong-nong/1986484.html,Thoả thuận,,,['Direct Sale...'],['Sales Tour/Kinh doanh du lịch'],2025-12-16,2025-12-23 13:11:26
1990791,Chuyên Viên Tài Chính Và Quản Trị,CÔNG TY CỔ PHẦN DEWOO,https://www.topcv.vn/viec-lam/chuyen-vien-tai-chinh-va-quan-tri/1990791.html,10 - 25 triệu,10.0,25.0,"['Kế toán tổng hợp', 'Kế toán', 'Sản xuất', '1 năm ki...']",[],2025-12-19,2025-12-23 13:11:26
1989492,"Chuyên Viên Tư Vấn Tuyển Sinh/Khóa Học/Kinh Doanh|Đại Thanh, Thanh Trì|Xoay Ca, Ca Tối| Thu Nhập Đến 30 Triệu (Lương Cứng Ko Phụ Thuộc Doanh Số)| Từ 6 Tháng Kinh Nghiệm",CÔNG TY CỔ PHẦN GIÁO DỤC HỌC VIỆN ANH NGỮ VIỆT NAM,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tuyen-sinh-khoa-hoc-kinh-doanh-dai-thanh-thanh-tri-xoay-ca-ca-toi-thu-nhap-den-30-trieu-luong-cung-ko-phu-thuoc-doanh-so-tu-6-thang-kinh-nghiem/1989492.html,15 - 30 triệu,15.0,30.0,"['Tư vấn tuyển sinh/khoá học', 'Direct Sales', 'Bá...']",[],2025-12-18,2025-12-23 13:11:26
1984652,Nhân Viên Triển Khai Giải Pháp ERP (Business Analyst - Vững Nghiệp Vụ Kế Toán) (Ưu Tiên Các Bạn Sinh Viên Mới Ra Trường),CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,https://www.topcv.vn/viec-lam/nhan-vien-trien-khai-giai-phap-erp-business-analyst-vung-nghiep-vu-ke-toan-uu-tien-cac-ban-sinh-vien-moi-ra-truong/1984652.html,8 - 15 triệu,8.0,15.0,"['Business Analyst (Phân tích nghiệp vụ)', 'Kế...']",[],2025-12-16,2025-12-23 13:11:26
1979099,Nhân Viên Tư Vấn Tài Chính/Telesales Tân Bình Cũ (Thu Nhập Trung Bình Từ 10 - 20 Triệu/Tháng),FE CREDIT,https://www.topcv.vn/brand/fecredit/tuyen-dung/nhan-vien-tu-van-tai-chinh-telesales-tan-binh-cu-thu-nhap-trung-binh-tu-10-20-trieu-thang-j1979099.html,12 - 20 triệu,12.0,20.0,"['Tư vấn tài chính', 'B2B', 'B2C', 'Không yêu cầu kinh...']",[],2025-12-09,2025-12-23 13:11:26
1934781,Phó Phòng Kỹ Thuật Và Quản Lý Thi Công Lương Từ 18 Triệu++,CÔNG TY CỔ PHẦN KODSDOOR VIỆT NAM,https://www.topcv.vn/viec-lam/pho-phong-ky-thuat-va-quan-ly-thi-cong-luong-tu-18-trieu/1934781.html,Từ 18 triệu,18.0,,"['Quản lý dự án thi công xây dựng', 'Xây dựng', 'T...']",[],2025-12-20,2025-12-23 13:11:26
1988879,Kế Toán Nội Bộ ( Tối Thiểu 1 Năm Kinh Nghiệm) - Mức Lương 10-15 Triệu /Tháng,CÔNG TY CỔ PHẦN VITENDA AN LỘC PHÁT,https://www.topcv.vn/viec-lam/ke-toan-noi-bo-toi-thieu-1-nam-kinh-nghiem-muc-luong-10-15-trieu-thang/1988879.html,10 - 15 triệu,10.0,15.0,"['Kế toán nội bộ', 'Kế toán', '1 năm kinh nghiệm', 'Ca...']",[],2025-12-18,2025-12-23 13:11:26
1978450,Nhân Viên Thẩm Định Khoản Vay Cho Ngân Hàng Quốc Tế /Hỗ Trợ Khách Hàng Sau Vay Giờ Hành Chính - Thu Nhập Đến 24 Triệu- Nhận Việc Ngay - Quận 11 Cũ,Công ty TNHH Vietnam Concentrix Services,https://www.topcv.vn/brand/concentrixservices/tuyen-dung/nhan-vien-tham-dinh-khoan-vay-cho-ngan-hang-quoc-te-ho-tro-khach-hang-sau-vay-gio-hanh-chinh-thu-nhap-den-24-trieu-nhan-viec-ngay-quan-11-cu-j1978450.html,Tới 30 triệu,,30.0,"['Call Center/Trực tổng đài', 'Bán lẻ - Hàng t...']",[],2025-12-09,2025-12-23 13:11:26
1824466,Chuyên Viên Media Editor (Lĩnh Vực Bất Động Sản),CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN AHS,https://www.topcv.vn/viec-lam/chuyen-vien-media-editor-linh-vuc-bat-dong-san/1824466.html,15 - 18 triệu,15.0,18.0,"['Photographer/Video Editor', '2 năm kinh nghi...']",[],2025-12-16,2025-12-23 13:11:26
1982423,Chuyên Viên Mua Hàng - Purchasing Officer (Ngành Y Tế),CÔNG TY CỔ PHẦN OPEN HEALTHCARE VIỆT NAM,https://www.topcv.vn/viec-lam/chuyen-vien-mua-hang-purchasing-officer-nganh-y-te/1982423.html,Thoả thuận,,,"['Chuyên môn Thu mua/Mua hàng', 'Y tế / Dược p...']",[],2025-12-16,2025-12-23 13:11:26
1989478,"Chuyên Viên Tư Vấn Tuyển Sinh|Tây Mỗ, Nam Từ Liêm|Xoay Ca, Ca Tối| Thu Nhập Đến 30 Triệu (Lương Cứng Ko Phụ Thuộc Doanh Số)/Tư Vấn Khóa Học/Nhân Viên Kinh Doanh",CÔNG TY CỔ PHẦN GIÁO DỤC HỌC VIỆN ANH NGỮ VIỆT NAM,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tuyen-sinh-tay-mo-nam-tu-liem-xoay-ca-ca-toi-thu-nhap-den-30-trieu-luong-cung-ko-phu-thuoc-doanh-so-tu-van-khoa-hoc-nhan-vien-kinh-doanh/1989478.html,15 - 30 triệu,15.0,30.0,"['Tư vấn tuyển sinh/khoá học', 'Direct Sales', 'Bá...']",[],2025-12-18,2025-12-23 13:11:26
1992096,Application Architect,Công Ty TNHH LG CNS VIỆT NAM,https://www.topcv.vn/viec-lam/application-architect/1992096.html,Thoả thuận,,,"['AI Engineer', 'IT - Phần mềm', '3 năm ...']",['Nghỉ thứ 7'],2025-12-22,2025-12-23 13:11:26
1980020,"Nhân Viên Mua Hàng Xuất Nhập Khẩu ( Ưu Tiên Biết Tiếng Hàn) - Thu Nhập Upto 12 Triệu (Hỗ Trợ Xe Đưa Đón, Ăn Trưa Và Trang Thiết Bị Làm Việc) Tại Hà Nội",Công ty TNHH Goryovina,https://www.topcv.vn/viec-lam/nhan-vien-mua-hang-xuat-nhap-khau-uu-tien-biet-tieng-han-thu-nhap-upto-12-trieu-ho-tro-xe-dua-don-an-trua-va-trang-thiet-bi-lam-viec-tai-ha-noi/1980020.html,10 - 12 triệu,10.0,12.0,"['Chuyên môn Thu mua/Mua hàng', '1 năm kinh ng...']",[],2025-12-16,2025-12-23 13:11:26
1990991,"Kỹ Sư Kiểm Soát Khối Lượng/ QS (Mảng MEP) -  Đà Nẵng, Hà Nội, Bắc Ninh - Thu Nhập Từ 15 - 20tr/ Tháng",Công ty Cổ Phần Kỹ thuật Thăng Tiến,https://www.topcv.vn/viec-lam/ky-su-kiem-soat-khoi-luong-qs-mang-mep-da-nang-ha-noi-bac-ninh-thu-nhap-tu-15-20tr-thang/1990991.html,Thoả thuận,,,"['Quản lý chất lượng công trình', 'Xây dựng', 'Kế ...']",[],2025-12-20,2025-12-23 13:11:26
1984235,Chuyên Viên Tối Ưu Hiệu Suất Quảng Cáo Trên Sàn TMĐT,CÔNG TY TNHH MẬT TÁO ĐỎ TÂM AN,https://www.topcv.vn/viec-lam/chuyen-vien-toi-uu-hieu-suat-quang-cao-tren-san-tmdt/1984235.html,Từ 12 triệu,12.0,,"['Vận hành sàn thương mại điện tử', 'Thương mạ...']",[],2025-12-16,2025-12-23 13:11:26
1992160,Kế Toán Tổng Hợp - Thủ Đức - Thu Nhập Upto 20M (YC Kinh Nghiệm Nhà Hàng/ Khách Sạn),CÔNG TY TNHH BẤT ĐỘNG SẢN SATIS LAND,https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-duc-thu-nhap-upto-20m-yc-kinh-nghiem-nha-hang-khach-san/1992160.html,14 - 20 triệu,14.0,20.0,"['Kế toán tổng hợp', 'Kế toán', 'Tài chính', 'Nhà hàng...']",[],2025-12-22,2025-12-23 13:11:26
1989132,Cán Bộ Thư Viện,TỔ CHỨC GIÁO DỤC FPT,https://www.topcv.vn/brand/fptedu1/tuyen-dung/can-bo-thu-vien-j1989132.html,Thoả thuận,,,"['Văn thư', 'Giáo dục / Đào tạo', 'In ấn / Xuất bả...']",[],2025-12-18,2025-12-23 13:11:26
